"PSRJ","Mode","W10"
"J0108-1431","Xs","11"
"J0134-2937","Od","4"
"J0151-0635","Od?","36"
"J0304+1932","Od","16"
"J0343-3000","OXO?",""
"J0448-2749","Xs","6"
"J0459-0210","Xs","7"
"J0517+2212","Od","19"
"J0533+0402","Xs","7"
"J0534-6703","Xs","5"
"J0536-7543","Xd","20"
"J0543+2329","Xs","5"
"J0614+2229","Xs","6"
"J0630-2834","Xs","22"
"J0631+1036","?","5"
"J0633-2015","Xd","11"
"J0636-4549","Xs","4"
"J0646+0905","Xs","8"
"J0647+0913","Od","11"
"J0656-2228","Os","8"
"J0659+1414","Xs","7"
"J0711+0931","Os","11"
"J0719-2545","Xd","6"
"J0729-1448","Xs","5"
"J0729-1836","Od","9"
"J0742-2822","Xt","5"
"J0812-3905","Od","24"
"J0820-1350","Od","9"
"J0835-4510","Xs","3"
"J0837+0610","Od","9"
"J0837-4135","Xs","4"
"J0843-5022","Xs","5"
"J0846-3533","Xs","10"
"J0847-4316","Xs","8"
"J0849-6322","Xd","7"
"J0856-6137","Xs","10"
"J0857-4424","Xs","6"
"J0901-4624","Xs?","3"
"J0904-4246","Xd?","10"
"J0904-7459","Xs","8"
"J0905-5127","Xd","6"
"J0907-5157","Od","8"
"J0908-4913","Os,Od","5"
"J0909-7212","Od","21"
"J0912-3851","Od?Xd?","12"
"J0922+0638","Xs","4"
"J0922-4949","Xs","2"
"J0924-5814","Xs","19"
"J0934-5249","Xs","12"
"J0942-5552","Od?","18"
"J0942-5657","Xs","4"
"J0944-1354","Xs","5"
"J0945-4833","Xs","4"
"J0952-3839","Os?","9"
"J0953+0755","Xs","5"
"J0954-5430","Xd","7"
"J0955-5304","Od?","9"
"J0957-5432","Xs","3"
"J0959-4809","Od?","41"
"J1000-5149","Xs","4"
"J1002-5919","Od?","25"
"J1013-5934","Od","13"
"J1015-5719","Od","26"
"J1020-5921","Xs?","8"
"J1032-5206","Od","11"
"J1036-4926","(O)XO?",""
"J1038-5831","Od?","7"
"J1041-1942","Od?","16"
"J1042-5521","Xs","8"
"J1047-6709","Xs","2"
"J1048-5832","Xs","7"
"J1049-5833","Os","10"
"J1054-6452","Xs","5"
"J1055-6905","Os","12"
"J1056-6258","Xs","10"
